name,port,siz,atm,hyd,pop,gov,law,tl,uwp
System-0087,X,4,0,0,5,6,5,5,X400565-5
System-0088,X,7,A,6,6,9,B,0,X7A669B-0
System-0089,C,5,3,6,F,F,H,8,C536FFH-8
System-0090,D,4,6,5,5,5,3,4,D465553-4
System-0091,D,3,1,0,2,0,1,9,D310201-9
System-0092,C,3,8,8,3,0,0,B,C388300-B
System-0093,X,8,5,7,0,0,0,0,X857000-0
System-0094,X,8,6,8,4,8,6,2,X868486-2
System-0095,C,7,8,A,4,2,2,B,C78A422-B
System-0096,X,3,8,7,4,5,8,5,X387458-5
System-0097,C,5,3,7,4,9,5,7,C537495-7
System-0098,E,4,1,0,6,9,7,6,E410697-6
System-0099,B,4,3,0,B,8,6,D,B430B86-D
System-0100,C,3,7,6,7,4,5,8,C376745-8
System-0101,C,4,6,4,7,3,6,4,C464736-4
System-0102,X,4,8,6,3,6,7,0,X486367-0
System-0103,X,2,5,7,5,7,6,0,X257576-0
System-0104,C,3,3,4,8,A,9,7,C3348A9-7
System-0105,B,7,3,2,7,5,4,B,B732754-B
System-0106,E,4,7,6,9,B,F,7,E4769BF-7
System-0107,D,4,0,0,7,7,9,8,D400779-8
System-0108,C,8,7,A,3,3,0,7,C87A330-7
System-0109,C,5,1,0,5,4,4,9,C510544-9
System-0110,B,8,7,9,4,4,2,8,B879442-8
System-0111,C,0,0,0,8,9,7,A,C000897-A
System-0112,C,4,0,0,6,5,8,6,C400658-6
System-0113,C,3,0,0,3,7,4,6,C300374-6
System-0114,X,3,6,9,5,3,6,4,X369536-4
System-0115,E,2,2,3,5,2,3,6,E223523-6
System-0116,X,7,6,6,8,C,D,0,X7668CD-0
System-0117,B,7,7,3,5,9,8,9,B773598-9
System-0118,C,1,0,0,5,1,3,9,C100513-9
System-0119,C,4,8,8,5,9,6,9,C488596-9
System-0120,E,C,E,9,9,B,A,5,ECE99BA-5
System-0121,C,5,3,0,6,5,5,6,C530655-6
System-0122,C,1,1,0,5,6,9,7,C110569-7
System-0123,C,5,7,7,6,4,1,8,C577641-8
System-0124,E,5,7,8,8,8,3,1,E578883-1
System-0125,B,6,3,7,4,3,3,B,B637433-B
System-0126,D,4,2,0,D,F,J,9,D420DFJ-9
System-0127,E,7,9,6,9,4,4,6,E796944-6
System-0128,C,2,2,2,5,6,7,8,C222567-8
System-0129,E,8,6,7,5,0,2,7,E867502-7
System-0130,E,6,6,2,4,5,0,6,E662450-6
System-0131,E,6,3,5,0,5,8,5,E635058-5
System-0132,E,5,7,7,4,1,0,4,E577410-4
System-0133,D,5,8,A,6,3,1,7,D58A631-7
System-0134,A,6,2,0,5,0,2,E,A620502-E
System-0135,D,3,4,2,2,4,4,5,D342244-5
System-0136,C,2,2,5,3,3,0,A,C225330-A
System-0137,X,7,6,5,7,A,D,0,X7657AD-0
System-0138,E,3,4,5,4,1,0,6,E345410-6
System-0139,D,4,3,3,6,7,4,8,D433674-8
System-0140,E,7,6,7,1,3,5,2,E767135-2
System-0141,B,3,2,1,5,2,0,A,B321520-A
System-0142,E,6,4,9,2,3,3,7,E649233-7
System-0143,C,7,C,9,7,3,0,A,C7C9730-A
System-0144,B,3,1,0,8,8,A,8,B31088A-8
System-0145,C,6,6,6,8,7,8,8,C666878-8
System-0146,D,1,2,0,9,9,8,6,D120998-6
System-0147,E,6,5,1,0,0,0,5,E651000-5
System-0148,X,7,2,6,6,3,0,1,X726630-1
System-0149,B,9,B,3,2,0,1,B,B9B3201-B
System-0150,C,4,4,5,6,7,4,9,C445674-9
System-0151,C,7,5,5,5,5,2,9,C755552-9
System-0152,E,7,5,3,4,2,4,5,E753424-5
System-0153,E,2,4,4,2,0,0,8,E244200-8
System-0154,C,A,9,9,9,4,2,9,CA99942-9
System-0155,E,5,7,A,3,5,7,7,E57A357-7
System-0156,E,3,5,5,1,0,0,8,E355100-8
System-0157,D,4,2,0,4,2,4,7,D420424-7
System-0158,C,6,5,7,2,3,1,5,C657231-5
System-0159,E,F,C,7,5,5,8,5,EFC7558-5
System-0160,X,1,2,0,7,6,7,1,X120767-1
System-0161,X,4,7,7,2,0,3,1,X477203-1
System-0162,X,6,1,0,7,9,9,0,X610799-0
System-0163,C,6,9,4,5,A,C,6,C6945AC-6
System-0164,X,4,0,0,3,2,1,5,X400321-5
System-0165,X,7,9,A,2,4,5,3,X79A245-3
System-0166,C,6,5,2,7,7,6,6,C652776-6
System-0167,C,8,9,A,3,5,9,9,C89A359-9
System-0168,C,5,4,0,6,4,2,3,C540642-3
System-0169,A,5,6,8,5,9,A,8,A56859A-8
System-0170,D,6,5,3,4,5,8,4,D653458-4
System-0171,D,2,0,0,6,1,4,8,D200614-8
System-0172,E,6,A,5,5,0,0,5,E6A5500-5
System-0173,X,1,2,0,1,6,A,3,X12016A-3
System-0174,C,3,0,0,6,2,1,8,C300621-8
System-0175,C,5,6,3,5,5,1,6,C563551-6
System-0176,C,5,1,0,2,0,0,7,C510200-7
System-0177,X,6,5,5,9,A,A,4,X6559AA-4
System-0178,X,5,4,1,6,8,7,0,X541687-0
System-0179,X,0,0,0,5,5,5,7,X000555-7
System-0180,E,8,4,3,9,7,6,6,E843976-6
System-0181,E,6,4,5,2,0,1,4,E645201-4
System-0182,E,3,8,9,0,0,0,7,E389000-7
System-0183,C,5,1,0,5,3,6,5,C510536-5
System-0184,X,B,B,7,8,4,8,0,XBB7848-0
System-0185,E,1,0,0,3,1,0,6,E100310-6
System-0186,E,E,B,7,2,0,3,4,EEB7203-4
System-0187,D,7,B,6,3,8,7,4,D7B6387-4
System-0188,C,7,8,A,7,9,8,9,C78A798-9
System-0189,X,8,7,A,7,3,6,1,X87A736-1
System-0190,E,6,4,4,3,3,4,7,E644334-7
System-0191,X,D,E,A,9,8,6,4,XDEA986-4
System-0192,C,5,A,8,7,9,6,4,C5A8796-4
System-0193,C,4,6,3,4,8,A,A,C46348A-A
System-0194,E,1,1,0,7,6,2,8,E110762-8
System-0195,E,4,1,0,9,7,7,7,E410977-7
System-0196,C,5,3,2,7,8,8,5,C532788-5
System-0197,B,7,6,A,8,A,7,B,B76A8A7-B
System-0198,C,5,4,1,6,7,9,6,C541679-6
System-0199,B,7,9,A,5,3,1,A,B79A531-A
System-0200,X,1,4,0,7,8,7,0,X140787-0
System-0201,C,6,A,7,2,6,8,9,C6A7268-9
System-0202,X,9,D,A,6,6,6,5,X9DA666-5
System-0203,D,0,0,0,5,3,2,5,D000532-5
System-0204,C,8,8,6,6,7,8,5,C886678-5
System-0205,C,6,7,7,C,D,A,5,C677CDA-5
System-0206,X,7,8,6,5,8,6,0,X786586-0
System-0207,X,2,3,2,5,5,6,6,X232556-6
System-0208,X,6,3,6,5,8,6,1,X636586-1
System-0209,B,6,6,5,5,3,3,8,B665533-8
System-0210,D,2,5,6,6,6,2,6,D256662-6
System-0211,B,8,9,A,4,3,5,D,B89A435-D
System-0212,D,1,0,0,9,5,6,B,D100956-B
System-0213,A,9,9,8,3,1,3,9,A998313-9
System-0214,B,4,5,8,3,0,0,8,B458300-8
System-0215,C,0,0,0,8,5,2,B,C000852-B
System-0216,B,4,8,A,6,A,8,D,B48A6A8-D
System-0217,E,3,7,9,4,0,3,5,E379403-5
System-0218,E,7,A,7,9,B,7,6,E7A79B7-6
System-0219,E,1,2,0,6,7,9,8,E120679-8
System-0220,E,4,3,1,7,9,C,6,E43179C-6
System-0221,E,4,2,2,5,3,2,5,E422532-5
System-0222,X,3,0,0,7,4,7,3,X300747-3
System-0223,C,2,6,8,9,9,9,A,C268999-A
System-0224,X,5,6,3,3,6,8,0,X563368-0
System-0225,B,2,2,2,4,2,4,A,B222424-A
System-0226,B,8,A,8,2,3,2,9,B8A8232-9
System-0227,B,6,5,4,4,6,6,B,B654466-B
System-0228,E,2,0,0,2,7,5,5,E200275-5
System-0229,B,5,6,4,3,0,2,9,B564302-9
System-0230,B,2,3,1,5,3,1,D,B231531-D
System-0231,C,7,5,9,4,3,6,7,C759436-7
System-0232,X,9,A,5,2,0,1,3,X9A5201-3
System-0233,D,6,9,A,6,5,3,5,D69A653-5
System-0234,X,5,5,1,4,5,6,4,X551456-4
System-0235,C,7,C,9,5,5,5,7,C7C9555-7
System-0236,C,7,9,7,0,2,1,3,C797021-3
System-0237,E,4,3,4,5,4,5,6,E434545-6
System-0238,B,7,3,3,4,0,0,D,B733400-D
System-0239,D,4,3,7,7,A,F,6,D4377AF-6
System-0240,E,3,1,0,6,6,5,3,E310665-3
System-0241,E,9,8,A,4,4,9,9,E98A449-9
System-0242,C,4,2,4,D,9,9,C,C424D99-C
System-0243,B,5,3,4,3,2,0,B,B534320-B
System-0244,X,4,5,3,4,1,1,1,X453411-1
System-0245,E,9,8,9,4,6,2,6,E989462-6
System-0246,D,3,8,8,2,1,5,3,D388215-3
System-0247,B,4,2,0,9,A,7,E,B4209A7-E
System-0248,E,5,4,0,0,3,3,2,E540033-2
System-0249,X,4,4,1,8,3,1,0,X441831-0
System-0250,E,1,0,0,1,0,0,9,E100100-9
System-0251,X,7,A,3,5,3,1,3,X7A3531-3
System-0252,B,3,5,4,4,1,1,7,B354411-7
System-0253,B,5,0,0,8,8,A,6,B50088A-6
System-0254,X,1,0,0,7,6,A,5,X10076A-5
System-0255,E,6,8,A,4,2,1,9,E68A421-9
System-0256,C,5,3,1,9,9,A,8,C53199A-8
System-0257,E,4,1,0,2,1,4,6,E410214-6
System-0258,C,8,5,5,5,5,6,8,C855556-8
System-0259,E,7,5,8,6,6,2,1,E758662-1
System-0260,C,9,9,A,8,9,A,9,C99A89A-9
System-0261,C,5,2,2,2,0,0,9,C522200-9
System-0262,E,2,3,1,3,0,0,6,E231300-6
System-0263,C,6,6,5,6,5,5,8,C665655-8
System-0264,E,2,2,4,6,7,5,6,E224675-6
System-0265,C,2,2,6,4,0,0,8,C226400-8
System-0266,D,9,E,A,6,B,D,7,D9EA6BD-7
System-0267,C,5,5,6,2,6,3,8,C556263-8
System-0268,E,9,8,A,4,7,7,5,E98A477-5
System-0269,C,8,7,7,7,5,6,6,C877756-6
System-0270,C,2,0,0,6,8,7,8,C200687-8
System-0271,E,4,6,9,5,9,C,6,E46959C-6
System-0272,D,4,3,4,5,3,5,5,D434535-5
System-0273,C,1,4,0,5,5,1,A,C140551-A
System-0274,D,2,2,0,6,2,5,3,D220625-3
System-0275,B,3,4,4,4,0,0,9,B344400-9
System-0276,D,9,8,6,5,3,3,7,D986533-7
System-0277,D,5,7,6,5,4,4,3,D576544-3
System-0278,X,6,8,3,7,7,C,0,X68377C-0
System-0279,D,F,D,8,6,7,6,2,DFD8676-2
System-0280,E,6,7,7,3,0,3,6,E677303-6
System-0281,C,8,5,6,6,6,5,6,C856665-6
System-0282,E,4,5,2,2,1,0,3,E452210-3
System-0283,A,5,7,4,2,1,4,C,A574214-C
System-0284,B,5,A,7,2,0,3,D,B5A7203-D
System-0285,E,4,2,1,7,6,8,5,E421768-5
System-0286,E,4,3,2,5,5,3,6,E432553-6
System-0287,X,4,2,1,6,7,5,0,X421675-0
System-0288,B,7,7,6,5,7,6,9,B776576-9
System-0289,X,3,6,5,6,6,4,2,X365664-2
System-0290,E,4,3,1,A,8,4,9,E431A84-9
System-0291,X,2,7,6,3,7,7,1,X276377-1
System-0292,X,5,7,3,5,1,2,3,X573512-3
System-0293,C,2,0,0,1,0,0,7,C200100-7
System-0294,X,1,3,0,5,2,3,4,X130523-4
System-0295,A,4,6,4,4,3,2,9,A464432-9
System-0296,D,4,0,0,8,3,0,4,D400830-4
System-0297,X,5,3,0,4,7,9,1,X530479-1
System-0298,X,5,0,0,5,5,8,0,X500558-0
System-0299,X,1,1,0,6,3,4,4,X110634-4
System-0300,C,8,A,9,4,2,5,8,C8A9425-8
System-0301,C,6,6,6,5,7,7,9,C666577-9
System-0302,E,4,6,4,2,7,9,7,E464279-7
System-0303,C,4,4,9,6,5,6,6,C449656-6
System-0304,X,5,2,1,3,1,0,4,X521310-4
System-0305,B,6,5,4,3,2,0,B,B654320-B
System-0306,X,7,C,6,8,C,D,3,X7C68CD-3
System-0307,B,6,3,4,7,3,1,B,B634731-B
System-0308,D,E,E,A,3,7,7,8,DEEA377-8
System-0309,X,7,6,6,5,2,5,2,X766525-2
System-0310,C,5,7,5,4,8,D,7,C57548D-7
System-0311,B,6,4,4,7,3,4,7,B644734-7
System-0312,B,4,2,1,3,3,1,8,B421331-8
System-0313,D,4,4,2,C,F,J,6,D442CFJ-6
System-0314,C,6,6,5,5,5,3,9,C665553-9
System-0315,D,4,0,0,6,5,3,6,D400653-6
System-0316,D,2,0,0,7,3,3,3,D200733-3
System-0317,X,1,0,0,2,3,0,5,X100230-5
System-0318,C,6,8,7,3,6,9,7,C687369-7
System-0319,C,5,3,3,1,0,2,B,C533102-B
System-0320,D,3,2,2,3,7,8,7,D322378-7
System-0321,C,1,0,0,4,9,8,C,C100498-C
System-0322,E,2,3,5,8,9,9,7,E235899-7
System-0323,E,1,6,0,2,0,0,6,E160200-6
System-0324,C,4,6,3,9,7,5,8,C463975-8
System-0325,B,7,8,8,8,A,C,6,B7888AC-6
System-0326,E,8,8,3,1,5,3,3,E883153-3
System-0327,B,5,2,5,5,8,5,7,B525585-7
System-0328,E,4,5,5,4,6,7,3,E455467-3
System-0329,D,4,1,0,7,5,6,9,D410756-9
System-0330,X,3,0,0,1,0,2,6,X300102-6
System-0331,X,2,0,0,4,4,2,5,X200442-5
System-0332,D,7,5,5,9,9,8,7,D755998-7
System-0333,D,4,6,2,7,5,2,7,D462752-7
System-0334,X,9,6,5,9,9,D,3,X96599D-3
System-0335,X,7,4,4,5,1,1,0,X744511-0
System-0336,E,4,5,0,4,8,5,5,E450485-5
System-0337,B,5,2,0,4,0,0,B,B520400-B
System-0338,C,8,5,0,4,3,4,7,C850434-7
System-0339,X,7,4,9,3,2,3,2,X749323-2
System-0340,C,3,4,0,4,4,3,9,C340443-9
System-0341,C,2,2,2,5,8,8,A,C222588-A
System-0342,B,3,0,0,4,3,2,B,B300432-B
System-0343,E,4,4,5,4,5,0,8,E445450-8
System-0344,X,5,6,7,4,3,1,3,X567431-3
System-0345,E,5,7,9,4,4,4,8,E579444-8
System-0346,B,4,1,0,3,6,7,A,B410367-A
System-0347,E,8,9,8,4,5,4,5,E898454-5
System-0348,E,6,6,7,0,0,3,2,E667003-2
System-0349,X,8,9,6,8,B,A,2,X8968BA-2
System-0350,D,4,9,5,6,9,E,6,D49569E-6
System-0351,E,6,6,2,4,6,6,6,E662466-6
System-0352,E,8,B,9,5,A,C,5,E8B95AC-5
System-0353,C,6,6,2,4,4,6,6,C662446-6
System-0354,B,2,4,5,2,4,3,B,B245243-B
System-0355,X,9,A,9,7,5,6,4,X9A9756-4
System-0356,E,5,2,6,8,A,8,2,E5268A8-2
System-0357,E,5,7,7,7,9,C,6,E57779C-6
System-0358,B,6,7,7,8,7,7,8,B677877-8
System-0359,X,6,8,A,4,4,6,0,X68A446-0
System-0360,D,4,4,5,3,5,5,7,D445355-7
System-0361,B,6,4,3,5,5,7,7,B643557-7
System-0362,X,3,1,0,C,D,A,4,X310CDA-4
System-0363,D,6,8,8,6,8,A,1,D68868A-1
System-0364,E,5,5,2,6,6,5,6,E552665-6
System-0365,X,4,4,5,7,7,8,2,X445778-2
System-0366,C,5,3,4,8,A,8,9,C5348A8-9
System-0367,X,0,0,0,5,7,8,1,X000578-1
System-0368,X,9,A,3,2,0,2,2,X9A3202-2
System-0369,C,2,7,5,4,0,0,8,C275400-8
System-0370,X,6,7,7,9,C,E,2,X6779CE-2
System-0371,B,3,7,9,7,6,A,7,B37976A-7
System-0372,B,3,3,0,2,5,4,9,B330254-9
System-0373,D,2,4,0,4,6,A,4,D24046A-4
System-0374,X,4,5,7,1,3,5,2,X457135-2
System-0375,E,5,4,6,4,4,3,6,E546443-6
System-0376,C,5,3,7,C,8,8,9,C537C88-9
System-0377,E,8,9,A,5,4,1,6,E89A541-6
System-0378,C,1,0,0,5,4,1,C,C100541-C
System-0379,D,6,7,A,7,3,6,5,D67A736-5
System-0380,C,7,6,4,7,5,7,6,C764757-6
System-0381,C,1,1,0,8,7,8,B,C110878-B
System-0382,E,3,5,3,4,8,6,3,E353486-3
System-0383,A,8,C,8,1,4,3,A,A8C8143-A
System-0384,X,9,9,7,A,A,E,1,X997AAE-1
System-0385,X,5,4,7,5,4,5,0,X547545-0
System-0386,E,9,E,A,5,5,8,6,E9EA558-6
System-0387,X,3,2,3,5,3,6,2,X323536-2
System-0388,D,9,C,7,4,5,2,7,D9C7452-7
System-0389,C,2,6,7,8,B,B,4,C2678BB-4
System-0390,B,8,8,7,4,6,1,B,B887461-B
System-0391,C,4,2,2,6,8,6,6,C422686-6
System-0392,C,4,4,4,9,B,E,6,C4449BE-6
System-0393,E,1,0,0,2,0,0,9,E100200-9
System-0394,X,5,4,5,6,6,4,0,X545664-0
System-0395,C,2,2,4,4,4,5,6,C224445-6
System-0396,B,1,0,0,5,9,8,A,B100598-A
System-0397,C,3,3,5,2,7,2,A,C335272-A
System-0398,C,5,7,6,6,8,A,6,C57668A-6
System-0399,D,4,4,8,1,1,0,8,D448110-8
System-0400,E,3,6,A,7,6,5,6,E36A765-6
System-0401,X,4,7,4,9,9,8,3,X474998-3
System-0402,E,5,4,4,5,5,5,5,E544555-5
System-0403,C,6,3,6,8,6,9,6,C636869-6
System-0404,C,5,6,5,7,7,7,7,C565777-7
System-0405,X,3,2,1,4,5,3,4,X321453-4
System-0406,E,8,8,8,6,2,2,4,E888622-4
System-0407,A,4,1,0,2,2,1,C,A410221-C
System-0408,B,6,9,9,1,0,0,9,B699100-9
System-0409,D,1,1,0,4,9,8,8,D110498-8
System-0410,E,7,6,2,7,6,6,6,E762766-6
System-0411,C,3,5,1,4,3,2,A,C351432-A
System-0412,E,6,8,6,3,3,7,5,E686337-5
System-0413,C,4,7,2,5,1,1,9,C472511-9
System-0414,C,6,7,A,4,4,4,6,C67A444-6
System-0415,A,1,2,0,3,3,0,D,A120330-D
System-0416,E,3,4,8,3,2,0,7,E348320-7
System-0417,C,5,6,6,0,1,3,3,C566013-3
System-0418,B,1,0,0,7,8,7,B,B100787-B
System-0419,E,3,2,5,5,4,3,5,E325543-5
System-0420,E,5,3,1,8,6,4,7,E531864-7
System-0421,D,7,7,5,3,5,6,3,D775356-3
System-0422,B,4,2,2,3,4,8,8,B422348-8
System-0423,D,5,4,6,4,1,2,5,D546412-5
System-0424,E,2,4,3,4,0,0,7,E243400-7
System-0425,B,9,A,7,C,E,F,A,B9A7CEF-A
System-0426,C,0,0,0,8,4,4,7,C000844-7
System-0427,X,6,5,5,5,9,A,0,X65559A-0
System-0428,D,D,F,A,8,6,5,4,DDFA865-4
System-0429,D,8,8,8,9,7,7,8,D888977-8
System-0430,E,4,8,5,8,6,8,2,E485868-2
System-0431,E,3,0,0,0,0,2,5,E300002-5
System-0432,X,7,6,6,6,7,7,1,X766677-1
System-0433,E,3,4,3,5,2,3,6,E343523-6
System-0434,E,5,5,6,6,3,4,1,E556634-1
System-0435,D,3,0,0,1,0,0,5,D300100-5
System-0436,E,6,9,7,8,B,A,3,E6978BA-3
System-0437,A,6,9,A,7,7,4,B,A69A774-B
System-0438,A,4,1,0,9,D,A,C,A4109DA-C
System-0439,D,5,5,1,2,4,4,2,D551244-2
System-0440,C,5,6,A,6,2,1,9,C56A621-9
System-0441,D,5,5,7,6,3,6,6,D557636-6
System-0442,X,7,C,A,9,B,C,3,X7CA9BC-3
System-0443,C,1,6,0,5,4,4,9,C160544-9
System-0444,C,6,5,4,7,8,6,4,C654786-4
System-0445,C,0,0,0,1,2,0,A,C000120-A
System-0446,X,4,4,5,0,2,1,0,X445021-0
System-0447,E,6,6,8,8,7,8,6,E668878-6
System-0448,D,6,5,6,4,4,4,7,D656444-7
System-0449,E,3,4,5,5,6,5,7,E345565-7
System-0450,B,7,4,5,3,5,6,9,B745356-9
System-0451,C,9,6,8,5,6,7,7,C968567-7
System-0452,X,3,1,0,6,6,5,3,X310665-3
System-0453,C,7,2,1,5,4,3,7,C721543-7
System-0454,C,5,A,5,4,0,5,A,C5A5405-A
System-0455,C,7,5,2,8,7,7,3,C752877-3
System-0456,C,5,7,A,8,A,7,7,C57A8A7-7
System-0457,D,7,5,3,3,2,4,7,D753324-7
System-0458,E,6,6,8,7,7,5,5,E668775-5
System-0459,D,5,6,5,4,3,1,4,D565431-4
System-0460,D,8,C,A,5,3,0,9,D8CA530-9
System-0461,B,2,3,2,4,5,7,B,B232457-B
System-0462,C,7,7,9,5,7,6,6,C779576-6
System-0463,B,5,8,8,9,B,B,A,B5889BB-A
System-0464,D,6,9,9,0,4,7,2,D699047-2
System-0465,C,3,7,3,3,0,0,B,C373300-B
System-0466,D,8,5,3,4,0,0,7,D853400-7
System-0467,B,1,2,0,5,5,3,F,B120553-F
System-0468,B,4,1,0,2,4,5,B,B410245-B
System-0469,X,2,1,0,7,8,5,0,X210785-0
System-0470,D,6,6,6,4,4,3,4,D666443-4
System-0471,C,8,8,8,8,7,7,7,C888877-7
System-0472,E,5,2,4,6,7,5,6,E524675-6
System-0473,D,8,7,7,1,3,2,7,D877132-7
System-0474,E,1,0,0,7,A,D,8,E1007AD-8
System-0475,X,3,4,3,5,4,3,2,X343543-2
System-0476,E,2,0,0,8,9,9,6,E200899-6
System-0477,C,2,1,0,6,A,D,9,C2106AD-9
System-0478,E,0,0,0,5,A,6,5,E0005A6-5
System-0479,E,1,3,0,5,6,6,8,E130566-8
System-0480,D,2,4,7,9,9,E,9,D24799E-9
System-0481,E,5,5,3,4,9,E,6,E55349E-6
System-0482,C,4,0,0,1,2,0,9,C400120-9
System-0483,A,3,6,6,3,3,2,B,A366332-B
System-0484,C,7,6,6,6,1,1,4,C766611-4
System-0485,B,2,7,8,0,2,6,8,B278026-8
System-0486,D,3,0,0,8,7,9,3,D300879-3
System-0487,B,7,C,9,5,4,2,B,B7C9542-B
System-0488,C,4,9,A,1,5,5,8,C49A155-8
System-0489,X,6,A,A,5,8,8,6,X6AA588-6
System-0490,C,7,5,5,5,5,4,8,C755554-8
System-0491,E,4,1,1,5,6,9,4,E411569-4
System-0492,E,5,3,1,2,2,7,8,E531227-8
System-0493,E,8,5,5,2,0,4,6,E855204-6
System-0494,X,6,8,A,1,0,1,4,X68A101-4
System-0495,C,2,0,0,6,4,3,7,C200643-7
System-0496,C,9,D,A,7,2,4,7,C9DA724-7
System-0497,C,6,5,5,4,8,6,7,C655486-7
System-0498,X,4,5,4,9,8,A,5,X45498A-5
System-0499,X,5,3,6,6,A,A,0,X5366AA-0
System-0500,B,5,4,6,2,4,0,A,B546240-A
System-0501,X,5,3,4,3,3,7,3,X534337-3
System-0502,E,4,6,4,4,7,9,7,E464479-7
System-0503,B,2,0,0,4,7,B,A,B20047B-A
System-0504,C,6,6,A,6,9,B,9,C66A69B-9
System-0505,X,4,4,4,4,5,4,5,X444454-5
